| Renda_Mensal  | Gasto_Mensal  | Classe |
| ------------- | ------------- | ------ |
| 2000          | 500           | 1      |
| 2500          | 700           | 1      |
| 3000          | 800           | 1      |
| 3200          | 1000          | 2      |
| 3500          | 1200          | 2      |
| 4000          | 1500          | 2      |
| 4500          | 1600          | 2      |
| 4800          | 1700          | 2      |
| 5000          | 2000          | 2      |
| 5500          | 2100          | 2      |
| 6000          | 2500          | 3      |
| 6200          | 2700          | 3      |
| 6500          | 3000          | 3      |
| 7000          | 3200          | 3      |
| 7200          | 3400          | 3      |
| 7500          | 3600          | 3      |
| 8000          | 4000          | 3      |
| 8200          | 4200          | 3      |
| 8500          | 4500          | 3      |
| 9000          | 4800          | 3      |
