| Horas_Treinamento  | Projetos_Entregues  | Nivel |
| ------------------ | ------------------- | ----- |
| 5                  | 1                   | 1     |
| 6                  | 2                   | 1     |
| 8                  | 2                   | 1     |
| 10                 | 3                   | 1     |
| 12                 | 4                   | 2     |
| 14                 | 4                   | 2     |
| 15                 | 5                   | 2     |
| 16                 | 5                   | 2     |
| 18                 | 6                   | 2     |
| 20                 | 7                   | 2     |
| 22                 | 7                   | 2     |
| 24                 | 8                   | 3     |
| 25                 | 8                   | 3     |
| 26                 | 9                   | 3     |
| 28                 | 10                  | 3     |
| 30                 | 10                  | 3     |
| 32                 | 11                  | 3     |
| 34                 | 12                  | 3     |
| 35                 | 12                  | 3     |
| 36                 | 13                  | 3     |
